event_id,learner_id,session_id,instrument,score,max_score,assessment_date
E00410,VU0035,S003,OSCE: Communication Station,99.3,100,2025-03-09
E00836,VU0072,S003,OSCE: Communication Station,87.6,100,2025-03-03
E01222,VU0107,S005,Quiz: Heart Failure,16,20,2025-01-06
E01541,VU0133,S005,Quiz: Heart Failure,42,50,2024-11-04
E01649,VU0143,S006,Facilitator Eval: QI Project,8,9,2024-09-03
E00264,VU0023,S018,Facilitator Eval: Journal Club,7,9,01/20/25
E00395,VU0034,S011,Quiz: Pulmonary Embolism,21,25,09/16/24
E01314,VU0114,S016,OSCE: Shared Decision-Making,86.5,100,2024-11-06
E00366,VU0032,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-01-19
E01691,VU0146,S004,Quiz: Endocrine/DKA,18,20,01/27/2025
E00826,VU0072,S014,Professionalism Attestation,P,,2025-01-08
E01277,VU0111,S010,Facilitator Eval: IP Rounds,7,9,2024-11-01
E01077,VU0094,S021,Quiz: Renal Replacement (RRT),16,20,2025-04-24
E01100,VU0096,S020,OSCE: Pre-Clerkship Capstone,82.9,100,2024-09-30
E00653,VU0057,S010,Facilitator Eval: IP Rounds,6,9,2024-09-19
E00926,VU0080,S015,Quiz: Nutrition,16,20,10/12/2024
E00577,VU0051,S003,OSCE: Communication Station,81.7,100,2025-02-21
E00001,VU0001,S008,Quiz: Antimicrobial Stewardship,17,25,2025-03-22
E00947,VU0082,S018,Facilitator Eval: Journal Club,4,9,10/24/2024
E00074,VU0007,S017,Quiz: Sepsis Bundles,22,25,2024-09-11
E00555,VU0048,S021,Quiz: Renal Replacement (RRT),19,20,2025-03-07
E00966,VU0084,S014,Professionalism Attestation,P,,2024-09-10
E00884,VU0076,S021,Quiz: Renal Replacement (RRT),20,,2025-02-16
E01493,VU0129,S016,OSCE: Shared Decision-Making,79.1,100,2025-04-06
E00341,VU0029,S014,Professionalism Attestation,P,,2024-11-01
E00621,VU0054,S017,Quiz: Sepsis Bundles,37,50,2025-03-01
E00958,VU0083,S011,Quiz: Pulmonary Embolism,14,20,2025-02-08
E00258,VU0022,S021,Quiz: Renal Replacement (RRT),17,20,2024-11-25
E00522,VU0046,S007,Facilitator Eval: Clinical Reasoning,5,9,03/11/2025
E00546,VU0048,S001,Quiz: Renal Acid-Base,16,20,04/11/2025
E00427,VU0037,S007,Facilitator Eval: Clinical Reasoning,7,9,11/20/24
E01057,VU0092,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-02-12
E00998,VU0087,S015,Quiz: Nutrition,20,20,2025-03-27
E01027,VU0089,S016,OSCE: Shared Decision-Making,96.9,100,2024-09-22
E00137,VU0012,S004,Quiz: Endocrine/DKA,38,50,2024-12-25
E00674,VU0058,S017,Quiz: Sepsis Bundles,16,25,2024-10-10
E00992,VU0086,S004,Quiz: Endocrine/DKA,22,25,2025-01-30
E00773,VU0066,S002,Quiz: Cardiology ECG,13,20,02/21/25
E00726,VU0062,S014,Professionalism Attestation,P,,11/26/2024
E01175,VU0103,S017,Quiz: Sepsis Bundles,18,25,2025-01-23
E00844,VU0073,S021,Quiz: Renal Replacement (RRT),19,25,12/27/2024
E00030,VU0003,S011,Quiz: Pulmonary Embolism,16,25,2024-12-15
E00798,VU0069,S011,Quiz: Pulmonary Embolism,31,50,03/15/2025
E00695,VU0060,S020,OSCE: Pre-Clerkship Capstone,80.5,100,2025-04-16
E00952,VU0082,S004,Quiz: Endocrine/DKA,18,20,09/08/2024
E01055,VU0092,S006,Facilitator Eval: QI Project,7,9,2024-12-10
E00327,VU0028,S010,Facilitator Eval: IP Rounds,7,9,2025-03-04
E00690,VU0059,S005,Quiz: Heart Failure,13,20,2024-11-07
E00867,VU0075,S003,OSCE: Communication Station,77.1,100,2025-01-07
E01374,VU0119,S002,Quiz: Cardiology ECG,37,50,12/09/24
E00911,VU0079,S003,OSCE: Communication Station,73.1,100,04/13/2025
E01320,VU0115,S007,Facilitator Eval: Clinical Reasoning,6,9,2025-01-03
E00345,VU0030,S004,Quiz: Endocrine/DKA,14,20,2025-04-10
E00661,VU0057,S016,OSCE: Shared Decision-Making,85.5,100,2025-02-17
E01321,VU0115,S011,Quiz: Pulmonary Embolism,17,20,03/04/2025
E01264,VU0110,S002,Quiz: Cardiology ECG,39,50,2025-04-18
E01330,VU0116,S002,Quiz: Cardiology ECG,16,20,2024-10-04
E01735,VU0150,S006,Facilitator Eval: QI Project,8,9,2024-11-08
E01492,VU0129,S006,Facilitator Eval: QI Project,5,9,2025-02-21
E01242,VU0108,S001,Quiz: Renal Acid-Base,16,25,2024-12-06
E00234,VU0021,S007,Facilitator Eval: Clinical Reasoning,7,9,10/16/24
E00188,VU0017,S008,Quiz: Antimicrobial Stewardship,19,20,2025-01-13
E01577,VU0136,S016,OSCE: Shared Decision-Making,84.1,100,2024-12-28
E01528,VU0132,S021,Quiz: Renal Replacement (RRT),17,25,02/13/2025
E01699,VU0147,S001,Quiz: Renal Acid-Base,48,50,2025-01-04
E00381,VU0033,S006,Facilitator Eval: QI Project,7,9,2025-02-04
E00946,VU0082,S016,OSCE: Shared Decision-Making,83.9,100,10/01/2024
E00930,VU0081,S016,OSCE: Shared Decision-Making,78.0,100,2025-02-06
E00113,VU0010,S013,Quiz: Acute Kidney Injury,39,,2025-02-08
E00014,VU0002,S007,Facilitator Eval: Clinical Reasoning,6,9,2024-11-25
E01168,VU0102,S013,Quiz: Acute Kidney Injury,19,20,01/30/2025
E00131,VU0012,S016,OSCE: Shared Decision-Making,88.0,100,12/23/2024
E00340,VU0029,S011,Quiz: Pulmonary Embolism,32,50,02/28/2025
E00490,VU0043,S001,Quiz: Renal Acid-Base,21,25,12/04/2024
E01547,VU0133,S001,Quiz: Renal Acid-Base,20,25,03/05/2025
E00929,VU0081,S004,Quiz: Endocrine/DKA,36,50,2024-12-14
E00055,VU0005,S006,Facilitator Eval: QI Project,9,9,12/27/24
E01359,VU0118,S018,Facilitator Eval: Journal Club,6,9,2025-02-14
E01744,VU0150,S008,Quiz: Antimicrobial Stewardship,17,25,03/26/2025
E01350,VU0117,S018,Facilitator Eval: Journal Club,7,9,2024-11-20
E00343,VU0030,S006,Facilitator Eval: QI Project,6,9,2024-10-13
E00829,VU0072,S020,OSCE: Pre-Clerkship Capstone,72.6,100,2025-01-13
E00721,VU0062,S001,Quiz: Renal Acid-Base,18,25,12/11/2024
E00091,VU0008,S002,Quiz: Cardiology ECG,38,50,10/31/24
E01386,VU0121,S016,OSCE: Shared Decision-Making,93.3,100,2024-12-03
E00278,VU0024,S015,Quiz: Nutrition,24,25,2024-09-21
E01582,VU0136,S002,Quiz: Cardiology ECG,15,20,2024-09-22
E01544,VU0133,S014,Professionalism Attestation,P,,2024-11-16
E00646,VU0056,S018,Facilitator Eval: Journal Club,7,9,03/23/25
E00069,VU0006,S007,Facilitator Eval: Clinical Reasoning,5,9,2024-12-28
E00279,VU0024,S008,Quiz: Antimicrobial Stewardship,15,20,11/02/24
E00888,VU0077,S020,OSCE: Pre-Clerkship Capstone,77.3,100,2024-11-28
E00416,VU0036,S005,Quiz: Heart Failure,18,25,2024-09-03
E00702,VU0060,S004,Quiz: Endocrine/DKA,48,50,2024-10-12
E01103,VU0096,S003,OSCE: Communication Station,82.8,100,2024-11-23
E00704,VU0060,S011,Quiz: Pulmonary Embolism,50,50,02/01/25
E01176,VU0103,S013,Quiz: Acute Kidney Injury,35,50,2024-10-01
E00119,VU0010,S006,Facilitator Eval: QI Project,7,9,11/20/24
E00901,VU0078,S013,Quiz: Acute Kidney Injury,15,20,2024-09-28
E01411,VU0123,S011,Quiz: Pulmonary Embolism,16,20,2024-12-15
E00318,VU0027,S010,Facilitator Eval: IP Rounds,9,9,2024-12-12
E00568,VU0050,S007,Facilitator Eval: Clinical Reasoning,8,9,2024-11-09
E01590,VU0137,S005,Quiz: Heart Failure,16,,2025-04-26
E01624,VU0140,S001,Quiz: Renal Acid-Base,16,20,2024-10-10
E00176,VU0016,S002,Quiz: Cardiology ECG,25,25,11/23/24
E00975,VU0084,S005,Quiz: Heart Failure,23,25,10/07/24
E01460,VU0126,S008,Quiz: Antimicrobial Stewardship,48,50,2025-03-25
E01343,VU0117,S015,Quiz: Nutrition,20,20,02/23/25
E00687,VU0059,S014,Professionalism Attestation,P,,2024-10-11
E01740,VU0150,S015,Quiz: Nutrition,49,50,2025-03-28
E00456,VU0040,S014,Professionalism Attestation,P,,03/27/2025
E01097,VU0096,S002,Quiz: Cardiology ECG,17,25,2024-11-12
E00052,VU0005,S016,OSCE: Shared Decision-Making,82.4,100,2024-10-15
E01109,VU0097,S017,Quiz: Sepsis Bundles,47,50,03/22/2025
E01665,VU0144,S011,Quiz: Pulmonary Embolism,24,25,2025-04-12
E00386,VU0033,S010,Facilitator Eval: IP Rounds,6,9,2024-12-19
E00280,VU0024,S005,Quiz: Heart Failure,20,20,2025-04-08
E01700,VU0147,S015,Quiz: Nutrition,38,50,02/25/25
E01040,VU0090,S021,Quiz: Renal Replacement (RRT),30,50,2024-09-11
E01703,VU0147,S020,OSCE: Pre-Clerkship Capstone,80.1,100,2025-02-12
E00657,VU0057,S011,Quiz: Pulmonary Embolism,32,50,2025-02-06
E00404,VU0035,S021,Quiz: Renal Replacement (RRT),20,25,2024-12-05
E00235,VU0021,S006,Facilitator Eval: QI Project,6,9,10/03/2024
E01170,VU0103,S002,Quiz: Cardiology ECG,17,20,2024-10-28
E00445,VU0039,S010,Facilitator Eval: IP Rounds,6,9,2025-02-05
E01356,VU0118,S014,Professionalism Attestation,P,,12/11/2024
E00438,VU0038,S016,OSCE: Shared Decision-Making,84.2,100,2024-10-27
E00920,VU0080,S008,Quiz: Antimicrobial Stewardship,32,50,2024-11-22
E01183,VU0103,S018,Facilitator Eval: Journal Club,8,9,2025-04-12
E00675,VU0058,S014,Professionalism Attestation,P,,2024-12-19
E00648,VU0056,S017,Quiz: Sepsis Bundles,41,50,2025-03-17
E00671,VU0058,S015,Quiz: Nutrition,23,25,01/03/25
E01702,VU0147,S005,Quiz: Heart Failure,18,20,2024-09-03
E00735,VU0063,S003,OSCE: Communication Station,74.8,100,2024-12-02
E00564,VU0049,S005,Quiz: Heart Failure,21,25,12/06/2024
E00936,VU0081,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-01-22
E01554,VU0134,S005,Quiz: Heart Failure,38,50,2024-11-24
E00909,VU0079,S017,Quiz: Sepsis Bundles,19,25,2024-09-11
E01533,VU0132,S010,Facilitator Eval: IP Rounds,6,9,2025-04-16
E00007,VU0001,S014,Professionalism Attestation,P,,2024-10-06
E00903,VU0078,S001,Quiz: Renal Acid-Base,15,20,2025-02-23
E00603,VU0053,S015,Quiz: Nutrition,45,50,2024-11-27
E01139,VU0099,S004,Quiz: Endocrine/DKA,24,25,2025-02-08
E00970,VU0084,S001,Quiz: Renal Acid-Base,17,20,02/16/2025
E01070,VU0093,S004,Quiz: Endocrine/DKA,17,20,2025-03-08
E00492,VU0043,S006,Facilitator Eval: QI Project,8,9,10/09/2024
E00526,VU0046,S017,Quiz: Sepsis Bundles,46,,03/19/25
E00961,VU0083,S006,Facilitator Eval: QI Project,9,9,2024-12-15
E01285,VU0112,S021,Quiz: Renal Replacement (RRT),39,50,2024-09-17
E01522,VU0132,S020,OSCE: Pre-Clerkship Capstone,93.9,100,2025-02-10
E01336,VU0116,S006,Facilitator Eval: QI Project,7,9,2024-11-16
E01707,VU0147,S003,OSCE: Communication Station,84.6,100,2024-11-16
E00316,VU0027,S008,Quiz: Antimicrobial Stewardship,16,20,2024-10-06
E00956,VU0083,S015,Quiz: Nutrition,22,25,2025-01-26
E01140,VU0099,S013,Quiz: Acute Kidney Injury,39,50,2024-11-28
E00483,VU0042,S018,Facilitator Eval: Journal Club,7,9,2024-10-19
E00902,VU0078,S017,Quiz: Sepsis Bundles,36,50,2025-02-04
E00959,VU0083,S010,Facilitator Eval: IP Rounds,7,9,04/10/2025
E00124,VU0011,S006,Facilitator Eval: QI Project,7,9,2024-11-22
E01047,VU0091,S015,Quiz: Nutrition,15,20,2024-11-04
E01468,VU0127,S014,Professionalism Attestation,P,,10/27/2024
E00823,VU0071,S003,OSCE: Communication Station,94.8,100,2024-12-06
E00468,VU0041,S007,Facilitator Eval: Clinical Reasoning,7,9,2025-02-04
E01561,VU0135,S005,Quiz: Heart Failure,19,25,2024-09-29
E00547,VU0048,S017,Quiz: Sepsis Bundles,50,50,2024-11-27
E01540,VU0133,S018,Facilitator Eval: Journal Club,8,9,2024-10-22
E01630,VU0141,S001,Quiz: Renal Acid-Base,35,50,12/21/24
E00375,VU0032,S015,Quiz: Nutrition,40,50,2025-02-08
E01716,VU0148,S016,OSCE: Shared Decision-Making,90.0,100,04/22/25
E00799,VU0069,S002,Quiz: Cardiology ECG,40,50,2025-02-23
E00669,VU0058,S010,Facilitator Eval: IP Rounds,8,9,2025-01-19
E01532,VU0132,S004,Quiz: Endocrine/DKA,16,20,2025-04-09
E00195,VU0017,S005,Quiz: Heart Failure,28,50,2024-10-02
E00904,VU0078,S010,Facilitator Eval: IP Rounds,8,9,2025-01-01
E00136,VU0012,S015,Quiz: Nutrition,18,20,2025-01-04
E00734,VU0063,S018,Facilitator Eval: Journal Club,8,9,2024-10-30
E01003,VU0087,S016,OSCE: Shared Decision-Making,83.0,100,2025-04-23
E01358,VU0118,S016,OSCE: Shared Decision-Making,85.9,100,02/26/25
E00057,VU0005,S011,Quiz: Pulmonary Embolism,14,20,09/06/24
E00764,VU0066,S013,Quiz: Acute Kidney Injury,46,50,2024-12-07
E01651,VU0143,S001,Quiz: Renal Acid-Base,42,50,2024-09-11
E01237,VU0108,S005,Quiz: Heart Failure,40,50,2024-12-15
E00682,VU0059,S017,Quiz: Sepsis Bundles,15,20,2025-01-17
E00276,VU0024,S010,Facilitator Eval: IP Rounds,6,9,2025-01-13
E00847,VU0073,S002,Quiz: Cardiology ECG,45,50,11/30/24
E01510,VU0130,S004,Quiz: Endocrine/DKA,18,20,04/13/2025
E00046,VU0004,S004,Quiz: Endocrine/DKA,20,20,2025-01-31
E01214,VU0106,S011,Quiz: Pulmonary Embolism,16,25,2025-01-04
E00116,VU0010,S014,Professionalism Attestation,P,,12/28/24
E00609,VU0053,S004,Quiz: Endocrine/DKA,44,50,2025-03-13
E00882,VU0076,S007,Facilitator Eval: Clinical Reasoning,9,9,2024-09-14
E01387,VU0121,S017,Quiz: Sepsis Bundles,20,20,12/22/24
E00072,VU0007,S018,Facilitator Eval: Journal Club,9,9,2024-12-25
E00611,VU0053,S014,Professionalism Attestation,P,,10/05/24
E01118,VU0098,S010,Facilitator Eval: IP Rounds,8,9,2025-02-19
E01078,VU0094,S001,Quiz: Renal Acid-Base,15,20,09/13/24
E01147,VU0100,S013,Quiz: Acute Kidney Injury,21,25,10/12/2024
E01431,VU0124,S011,Quiz: Pulmonary Embolism,20,20,2024-12-11
E00944,VU0082,S008,Quiz: Antimicrobial Stewardship,16,20,10/17/2024
E00469,VU0041,S001,Quiz: Renal Acid-Base,22,25,2025-04-28
E00742,VU0063,S017,Quiz: Sepsis Bundles,19,20,2025-01-07
E01096,VU0095,S011,Quiz: Pulmonary Embolism,25,25,2025-02-08
E00664,VU0057,S013,Quiz: Acute Kidney Injury,12,20,2025-02-13
E00233,VU0020,S013,Quiz: Acute Kidney Injury,41,50,2025-03-16
E00153,VU0014,S017,Quiz: Sepsis Bundles,48,50,2024-09-21
E01041,VU0090,S020,OSCE: Pre-Clerkship Capstone,64.9,100,2025-04-24
E01418,VU0123,S020,OSCE: Pre-Clerkship Capstone,92.2,100,2024-10-01
E00314,VU0027,S004,Quiz: Endocrine/DKA,14,20,12/28/24
E00715,VU0061,S015,Quiz: Nutrition,17,25,03/22/2025
E01611,VU0139,S016,OSCE: Shared Decision-Making,76.0,100,04/05/2025
E00285,VU0025,S016,OSCE: Shared Decision-Making,82.6,100,03/30/2025
E00908,VU0079,S016,OSCE: Shared Decision-Making,65.3,100,2024-12-19
E01632,VU0141,S006,Facilitator Eval: QI Project,7,9,2025-02-14
E00763,VU0066,S006,Facilitator Eval: QI Project,7,9,2025-03-25
E00542,VU0047,S020,OSCE: Pre-Clerkship Capstone,85.7,100,11/06/2024
E01075,VU0094,S016,OSCE: Shared Decision-Making,91.5,100,09/10/2024
E01121,VU0098,S011,Quiz: Pulmonary Embolism,36,50,2024-12-04
E01063,VU0092,S014,Professionalism Attestation,P,,03/19/2025
E00049,VU0005,S001,Quiz: Renal Acid-Base,18,20,12/11/24
E01134,VU0099,S006,Facilitator Eval: QI Project,9,9,12/04/2024
E01154,VU0101,S002,Quiz: Cardiology ECG,39,50,2025-01-25
E01297,VU0113,S015,Quiz: Nutrition,17,20,2025-02-01
E01638,VU0142,S017,Quiz: Sepsis Bundles,38,50,02/16/2025
E00173,VU0015,S016,OSCE: Shared Decision-Making,70.8,100,2025-02-04
E00021,VU0002,S011,Quiz: Pulmonary Embolism,15,25,2024-09-14
E01435,VU0125,S020,OSCE: Pre-Clerkship Capstone,82.4,100,11/10/2024
E01150,VU0100,S017,Quiz: Sepsis Bundles,15,20,2024-10-23
E01618,VU0140,S005,Quiz: Heart Failure,36,50,2024-11-03
E01498,VU0129,S014,Professionalism Attestation,P,,2024-09-28
E00068,VU0006,S004,Quiz: Endocrine/DKA,18,25,2024-12-23
E00769,VU0066,S010,Facilitator Eval: IP Rounds,7,9,10/26/2024
E00606,VU0053,S003,OSCE: Communication Station,80.3,100,2025-03-04
E01406,VU0122,S021,Quiz: Renal Replacement (RRT),17,20,2025-01-08
E00295,VU0026,S004,Quiz: Endocrine/DKA,25,25,2025-03-09
E00330,VU0028,S005,Quiz: Heart Failure,19,20,04/27/25
E00010,VU0001,S013,Quiz: Acute Kidney Injury,44,50,2024-12-17
E00600,VU0052,S010,Facilitator Eval: IP Rounds,8,9,09/01/2024
E00885,VU0076,S017,Quiz: Sepsis Bundles,20,25,04/11/2025
E01142,VU0100,S020,OSCE: Pre-Clerkship Capstone,83.2,100,2025-01-19
E01181,VU0103,S001,Quiz: Renal Acid-Base,12,20,2024-11-14
